posting_date,internship_title,employment_type,work_mode,industry,location,company_name,company_size,company_age,linkedin_presence,website_available,domain_age_months,verification_status,stipend,unrealistic_salary_flag,payment_required,registration_fee,job_description_length,grammatical_errors,vague_description_score,urgency_score,keyword_spam_score,fake_certificate_offer,recruiter_experience_years,recruiter_email_type,suspicious_email_domain,recruiter_response_time_hours,social_media_presence,emotional_manipulation_score,phishing_language_score,trust_signal_score,fraud_score,is_fake_posting
2026-12-31,Frontend Developer,Contract,Onsite,Software,San Francisco,Brown Ltd,Medium,38.0,1,1,452,1,68282.0,0,0,0,2351,4,17,44,50,0,0.6,Corporate,0,23.9,1,23,13,61.7,17.1,0
2026-12-31,Data Science Intern,Part-Time,Hybrid,EdTech,San Francisco,Alvarez-Burton,Small,11.0,1,1,146,1,58358.0,0,0,0,1820,4,18,35,14,1,7.8,Corporate,0,15.9,1,40,24,66.4,34.6,0
2026-12-31,Frontend Developer,Contract,Remote,Healthcare,Toronto,Willis PLC,Small,15.0,1,1,188,1,,0,0,0,469,4,29,23,42,0,4.6,Corporate,0,7.2,1,29,42,49.9,38.1,0
2026-12-31,Backend Developer,Full-Time,Hybrid,AI,New York,Johnson LLC,Startup,27.0,1,1,332,1,24644.0,0,0,0,1863,3,36,95,86,0,9.2,Corporate,0,15.1,1,0,28,67.5,44.6,0
2026-12-31,Frontend Developer,Contract,Remote,Gaming,Toronto,"Anderson, Gibson and Sanchez",Small,37.0,1,1,469,0,56601.0,0,0,0,1151,3,17,79,17,0,9.6,Corporate,0,13.3,1,40,36,55.1,32.4,0
2026-12-31,ML Engineer,Part-Time,Onsite,Software,Bangalore,Compton and Sons,Small,18.0,0,1,208,1,31051.0,0,0,0,637,5,59,42,49,0,0.0,Corporate,0,11.4,1,34,28,22.3,54.0,1
2026-12-31,Cybersecurity Analyst,Full-Time,Remote,AI,Sydney,Hansen PLC,Small,36.0,1,1,443,1,25149.0,0,0,0,1503,2,39,57,7,0,9.8,Corporate,0,19.1,1,32,13,65.2,23.3,0
2026-12-31,UI/UX Designer,Contract,Remote,Gaming,Dubai,"Miller, Vincent and Hardy",Small,30.0,1,1,378,1,41297.0,0,0,0,1075,5,26,56,20,1,0.7,Corporate,0,1.0,1,24,28,52.4,41.7,0
2026-12-31,AI Research Intern,Contract,Remote,EdTech,Toronto,Smith-Rodriguez,Small,6.0,1,0,60,1,42917.0,0,0,0,1931,4,47,60,32,0,2.6,Corporate,0,21.7,0,28,9,69.6,50.9,1
2026-12-31,AI Research Intern,Contract,Remote,E-Commerce,Bangalore,Davis-Dennis,Medium,11.0,1,1,125,1,36517.0,0,0,0,1339,3,37,61,28,0,0.0,Corporate,0,24.0,1,34,11,78.2,21.9,0
2026-12-31,AI Research Intern,Contract,Onsite,Healthcare,Sydney,Padilla and Sons,Medium,8.0,1,1,104,1,33753.0,0,0,0,1899,4,18,19,20,0,7.4,Corporate,0,13.8,1,40,65,42.9,23.0,0
2026-12-31,Data Science Intern,Contract,Remote,FinTech,New York,Mccarthy PLC,Medium,26.0,1,1,311,1,81606.0,0,0,0,1640,1,15,61,7,0,4.4,Free,1,1.5,1,17,2,63.2,15.8,0
2026-12-31,UI/UX Designer,Internship,Onsite,Healthcare,London,"Pierce, Price and Gomez",Small,29.0,1,0,349,1,30508.0,0,0,0,2232,2,0,54,18,0,2.2,Corporate,0,7.9,1,48,23,56.3,25.7,0
2026-12-31,Data Science Intern,Internship,Remote,EdTech,Sydney,Sharp-Marsh,Enterprise,21.0,1,1,263,1,43381.0,0,0,0,1933,2,33,73,16,0,2.8,Corporate,0,24.5,0,39,22,57.8,19.5,0
2026-12-31,Backend Developer,Contract,Remote,Marketing,Sydney,Smith-Hawkins,Small,18.0,1,1,196,1,43438.0,0,0,0,1258,7,51,43,36,0,1.8,Corporate,0,6.1,1,41,0,65.1,16.1,0
2026-12-31,Marketing Intern,Internship,Remote,Cybersecurity,Sydney,Jackson PLC,Small,34.0,1,1,421,0,34034.0,0,0,0,1805,4,34,61,22,0,2.4,Corporate,0,6.8,0,39,0,64.1,16.5,0
2026-12-31,Data Science Intern,Internship,Remote,Gaming,Sydney,Ellis-Marshall,Startup,27.0,1,0,323,1,56368.0,0,0,0,1050,1,37,87,26,0,10.1,Corporate,0,18.4,1,24,27,75.0,28.3,0
2026-12-31,Marketing Intern,Part-Time,Remote,FinTech,New York,"Barrera, Aguilar and Cook",Startup,2.0,1,1,29,1,42415.0,0,0,0,1734,4,38,42,41,0,6.8,Corporate,0,28.0,0,30,3,77.6,4.9,0
2026-12-31,Data Science Intern,Contract,Remote,EdTech,Sydney,"Murphy, Acosta and Casey",Startup,17.0,1,1,203,0,30849.0,0,0,0,1855,2,7,40,60,0,8.0,Free,1,36.4,1,19,25,52.4,46.4,0
2026-12-31,AI Research Intern,Internship,Hybrid,Gaming,Singapore,"Mcneil, Rocha and Austin",Medium,35.0,1,1,418,1,28151.0,0,0,0,1851,2,22,75,26,0,7.7,Corporate,0,29.2,1,0,12,67.5,0.7,0
2026-12-31,Data Science Intern,Part-Time,Hybrid,Software,London,"Martinez, Wallace and Jones",Medium,17.0,1,1,178,1,27645.0,0,0,0,1836,1,48,11,26,0,4.0,Free,1,8.3,0,37,39,47.1,29.5,0
2026-12-31,Cybersecurity Analyst,Full-Time,Hybrid,E-Commerce,Singapore,"Dunlap, Young and Lee",Startup,23.0,1,1,273,1,52837.0,0,0,0,2179,3,32,63,47,0,0.0,Corporate,0,4.8,1,15,33,67.1,30.8,0
2026-12-31,UI/UX Designer,Contract,Hybrid,Marketing,Berlin,"Stewart, Greene and Carpenter",Enterprise,10.0,1,1,122,0,51269.0,0,0,0,776,4,51,52,44,0,5.3,Corporate,0,30.6,1,44,35,40.6,35.9,0
2026-12-31,Backend Developer,Part-Time,Hybrid,Gaming,Singapore,"Hernandez, Day and Butler",Startup,1.0,0,1,21,0,34631.0,0,0,0,1306,4,29,0,2,0,8.3,Free,1,12.1,0,76,0,44.8,44.9,0
